Food code,Main food description,Gender,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Choline,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,RDA_Vitamin A_(mg),RDA_Vitamin B1_(mg),RDA_Vitamin B2_(mg),RDA_Vitamin B3_(mg),RDA_Vitamin B6_(mg),RDA_Vitamin B9_(mg),RDA_Vitamin B12_(mg),RDA_Vitamin C_(mg),RDA_Vitamin D_(mg),RDA_Vitamin E_(mg),RDA_Vitamin K_(mg),RDA_Choline_(mg),RDA_Calcium_(mg),RDA_Phosphorus_(mg),RDA_Magnesium_(mg),RDA_Iron_(mg),RDA_Zinc_(mg),RDA_Copper_(mg),RDA_Selenium_(mg),RDA_Potassium_(mg)
71602950,"Potato salad, from restaurant",Male,0.003,0.085,0.021,1.082,0.235,0.008,2e-05,10.0,0.0,0.54,0.026199999999999998,16.8,7,44,20,0.34,0.26,0.171,0.0011,308,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71602950,"Potato salad, from restaurant",Female,0.003,0.085,0.021,1.082,0.235,0.008,2e-05,10.0,0.0,0.54,0.026199999999999998,16.8,7,44,20,0.34,0.26,0.171,0.0011,308,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71603010,"Potato salad, made with mayonnaise",Male,0.004,0.079,0.021,1.0,0.207,0.009,2e-05,5.8,0.0,0.51,0.027800000000000002,15.6,10,36,16,0.31,0.24,0.131,0.0011,261,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71603010,"Potato salad, made with mayonnaise",Female,0.004,0.079,0.021,1.0,0.207,0.009,2e-05,5.8,0.0,0.51,0.027800000000000002,15.6,10,36,16,0.31,0.24,0.131,0.0011,261,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71603015,"Potato salad, made with light mayonnaise",Male,0.003,0.077,0.018,0.989,0.204,0.009,0.0,5.7,0.0,0.38,0.0123,11.8,10,35,16,0.3,0.23,0.13,0.0011,260,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71603015,"Potato salad, made with light mayonnaise",Female,0.003,0.077,0.018,0.989,0.204,0.009,0.0,5.7,0.0,0.38,0.0123,11.8,10,35,16,0.3,0.23,0.13,0.0011,260,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71603020,"Potato salad, made with mayonnaise-type salad dressing",Male,0.002,0.078,0.023,0.991,0.205,0.009,1e-05,5.7,0.0,0.27,0.0104,12.7,10,35,16,0.29,0.23,0.13,0.0008,261,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71603020,"Potato salad, made with mayonnaise-type salad dressing",Female,0.002,0.078,0.023,0.991,0.205,0.009,1e-05,5.7,0.0,0.27,0.0104,12.7,10,35,16,0.29,0.23,0.13,0.0008,261,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
71603025,"Potato salad, made with light mayonnaise-type salad dressing",Male,0.003,0.077,0.018,0.989,0.204,0.009,0.0,5.7,0.0,0.38,0.0123,11.8,10,35,16,0.3,0.23,0.13,0.0011,260,0.9,1.2,1.3,16.0,1.3,0.4,0.0024,90.0,0.015,15.0,0.12,550.0,1000.0,700.0,420.0,8.0,11.0,0.9,0.055,3400.0
71603025,"Potato salad, made with light mayonnaise-type salad dressing",Female,0.003,0.077,0.018,0.989,0.204,0.009,0.0,5.7,0.0,0.38,0.0123,11.8,10,35,16,0.3,0.23,0.13,0.0011,260,0.7,1.1,1.1,14.0,1.3,0.4,0.0024,75.0,0.015,15.0,0.09,425.0,1000.0,700.0,320.0,18.0,8.0,0.9,0.055,2600.0
